,track_name,artist_name,release_date,id_track,popularity,genero
211,"Everywhere, Everything (with Gracie Abrams)","Noah Kahan, Gracie Abrams",2024-02-09,745JbQYxoYIegHzHTUxETp,70,pop
212,Strangers,Kenya Grace,2024-03-21,593knnQN4REEshx8th9zgK,69,pop
213,labour,Paris Paloma,2024-08-30,0e00DiF2T9znEdmWakYSC3,71,pop
214,Sienna,The Marías,2024-05-31,0InIeZW4P6VO7dUGRM4AKH,75,pop
215,Guy For That (Feat. Luke Combs),"Post Malone, Luke Combs",2024-08-15,6StwwqB84sJeLr7tZDTxEX,73,pop
216,The Mountain Is You,Chance Peña,2024-09-13,3UN5BBwxoHbwFGxWNvaEj7,67,pop
217,Debut,KATSEYE,2024-06-28,58AZXyKRlsMBMcrRjpJpVG,69,pop
218,Guilty as Sin?,Taylor Swift,2024-04-18,0W0iAC1VGlB82PI6elxFYf,71,pop
219,Chasing Shadows,Alex Warren,2024-09-27,2OnXkCv6h8JeofTS4kX89z,69,pop
220,Smart,LE SSERAFIM,2024-03-22,3lwK3WyKAI5bUuGY1OgGbZ,71,pop
221,Dawini,"Tawsen, Ayoub Anbaoui",2024-06-13,5d54P8T7TXGwE2d0zyN3uu,56,pop
222,Badadi,Douaa Lahyaoui,2024-07-19,1dBv07ZgvsNBeQs2lJon6W,58,pop
223,Brought The Heat Back,ENHYPEN,2024-07-12,3ivdlmTbUSv5JN9W8Tk9V1,68,pop
224,Sticky,KISS OF LIFE,2024-07-01,4e1aewX6ATPcdfQIqr7gqO,72,pop
225,Rebirth (Intro),Jimin,2024-07-19,7gMfVc4zfNIxuMyMGglOHa,68,pop
226,misses,Dominic Fike,2024-05-03,6WTFHKrnZpwEBLRS10Ylqs,72,pop
227,Look Who's Laughing Now,Benjamin Ingrosso,2024-06-14,5iBSvGT3waImHIGW1eEeH7,64,pop
228,Club classics,Charli xcx,2024-06-07,0CySZwyRJ0vyUqtSjM9i2k,68,pop
229,EASY,LE SSERAFIM,2024-02-19,2O4Bb2WCkjlTPO827OnBMI,72,pop
230,Cry Baby,"Clean Bandit, Anne-Marie, David Guetta",2024-08-09,7oDSG2Q9RBU0QjgtfYQOdD,65,pop
231,Smeraldo Garden Marching Band (feat. Loco),"Jimin, Loco",2024-07-19,1agDCV4zQqaFwJQNsTgmL1,66,pop
232,Un Besito Más,"Salastkbron, Diel Paris",2024-03-14,5rQSQlZXXjMcevPGoAfE1z,67,pop
233,How Sweet,NewJeans,2024-05-24,38tXZcL1gZRfbqfOG0VMTH,73,pop
234,Midas Touch,KISS OF LIFE,2024-04-03,0vaxYDAuAO1nPolC6bQp7V,69,pop
235,Closer Than This,Jimin,2024-07-19,6qafqn8bBMy7t5c5WqpyRk,66,pop
236,Half of forever,Henrik,2024-01-05,5v3MSh7CD3VNyCwAoSha5p,70,pop
237,Be Mine (English Version),Jimin,2024-08-02,4DairgmwgyfmFHm0e7kRPL,67,pop
238,Que Suerte Tenerte,Fonseca,2024-05-02,5Vn2XpqzUOozKNmBmAgysw,59,pop
239,Parking Lot,"Mustard, Travis Scott",2024-07-26,4CdAc7V4hUe1cuJAjnPpSQ,69,pop
240,1-800-hot-n-fun,LE SSERAFIM,2024-08-30,7vjfnsnDXZGK4PSq54ISjc,69,pop
241,Before You Leave Me,Alex Warren,2024-02-16,7qoxdajngC0j9VXrcnephA,64,pop
242,Deja Vu,TOMORROW X TOGETHER,2024-04-01,3aAnwyBJY9OLNLqSgd4fZU,69,pop
243,Interlude : Showtime,Jimin,2024-07-19,45zLrK0668WQ5JFMyiYmCS,65,pop
244,ABCD,NAYEON,2024-06-14,0V2passWyAXnON67kfAj7y,67,pop
245,I'll Fly With You (L'Amour Toujours),"Jovani, Chris Crone",2024-01-26,647ApDC8JCH0CRKNYAwos9,59,pop
246,Supernatural,NewJeans,2024-06-21,5ocSQW5sIUIOFojwXEz9Ki,72,pop
247,Faut pas,"PLK, Jul",2024-02-01,2cqtTAnI9E7buORFB9q4ts,63,pop
248,It's Up (feat. Young Thug & 21 Savage),"Drake, Young Thug, 21 Savage",2024-08-30,1qIwin7JMVuX70qN6wD8ww,69,pop
249,Heroine,"Dimitri Vegas & Like Mike, Dimitri Vegas",2024-10-11,0Hu7MIDZWEiipqaN2UBCet,60,pop
250,Chismofilia,Luis Alfonso,2024-06-05,0323rphB8wdBL4riIlKt0G,58,pop
251,HWASI,Lbenj,2024-04-09,2HfjQWIHWBmEp2LocJsp11,53,pop
