año,CCAA,tasa_paro
2010,España,29.89714285714286
2010,Extremadura,32.58535714285714
2010,Galicia,24.364761904761906
2010,La Rioja,26.432380952380953
2010,Madrid,26.147261904761905
2010,Melilla,36.74506493506493
2010,Murcia,29.56547619047619
2010,Navarra,20.60440476190476
2010,País Vasco,19.519285714285715
2010,Valencia,32.8072619047619
2011,Andalucía,40.336309523809526
2011,Aragón,28.27940476190476
2011,Asturias,31.057261904761905
2011,Baleares,32.99559523809524
2011,Canarias,39.245714285714286
2011,Cantabria,26.80369047619048
2011,Castilla y León,26.612857142857145
2011,Castilla-La Mancha,33.851309523809526
2011,Cataluña,30.265595238095237
2011,Ceuta,43.913373493975904
2011,España,32.51535714285714
2011,Extremadura,36.01285714285714
2011,Galicia,26.084999999999997
2011,La Rioja,30.873809523809523
